0.1,0.1
9.6199,0.964319
10.1827,10.3874
1.70935,2.11763
4.77596,4.5086
10.0128,8.903
15.2822,15.0641
14.6982,14.6791
4.78889,4.84209
-0.0656086,-0.392564
-1.1898,0.706473
-6.99491,-2.43062
-1.23865,-1.1783
-14.7306,-14.0307
-17.2076,-16.6732
-13.4439,-14.3195
-2.74722,-3.34967
-0.568048,-1.43754
-11.2952,-7.59478
-15.6248,-15.0708
-14.3317,-14.9157
-4.87672,-5.02253
1.79246,0.559655
14.7954,14.9893
0.595014,2.39692
5.01054,2.43502
8.24937,8.89939
14.8879,15.1346
14.2505,14.5706
4.62996,3.95265
1.1857,0.497091
11.2114,2.83634
15.4686,14.8815
14.7071,14.0412
4.84175,5.7705
-0.707561,-0.785694
-16.3341,-15.6566
-3.44131,-3.72016
-2.60966,-0.897091
-11.1334,-5.92648
-16.936,-16.3828
-16.0322,-16.1407
-6.63633,-6.69765
-0.443299,0.904245
-7.2082,0.75858
-13.436,-13.4557
-14.8115,-15.0721
-8.11034,-6.97321
2.32355,0.752952
15.9348,15.7955
4.78873,5.05248
-0.490125,-0.17534
-9.97824,-1.63391
1.38864,-0.699056
17.9339,12.3937
5.51558,5.1817
-0.367015,-0.489212
-11.4064,-5.81248
-2.20101,-2.40848
-1.73522,-2.22721
-13.2735,-12.9512
-14.838,-16.0846
-15.2933,-14.8122
-6.44068,-5.83442
1.56287,0.825298
13.2932,12.6624
2.82794,1.72999
1.40982,4.24035
13.5723,12.2937
16.3066,16.5812
12.818,12.8237
2.99347,3.42887
1.62431,0.942651
13.2765,7.63411
15.3541,15.0731
