50.05,18.838,0.0092571,50.0896,20.3965,0.0083813,49.1524,16.7122,0.0083812,48.9254,18.6903,0.0084658
51.9203,17.8761,0.0094883,48.0544,18.676,0.0083313,48.908,16.1234,0.0082813,49.2815,17.1666,0.0084814
51.8376,17.9907,0.00945725,52.4149,17.7824,0.00825615,51.6874,15.4756,0.0083313,49.5291,17.1732,0.0084314
52.4208,16.0479,0.00955735,54.3644,15.3652,0.00820765,51.1742,15.0135,0.00828115,51.2057,16.0749,0.0083812
54.2708,14.4178,0.00918205,54.9614,14.7347,0.00823125,53.6514,14.2815,0.00840625,53.7248,15.2651,0.0084061
55.9328,15.3865,0.009207,57.9066,15.1799,0.0082489,53.9265,15.2666,0.00835625,54.2362,14.4405,0.00870655
57.2178,15.9741,0.0093571,56.2393,15.4949,0.00823765,54.681,15.3157,0.0082311,53.2682,15.7823,0.00843125
55.3611,16.8855,0.0094322,59.4102,16.8879,0.0083062,54.2841,16.1386,0.0083562,55.2286,15.4811,0.0084562
59.0849,18.5215,0.00945725,60.3867,17.2985,0.0083062,56.5282,16.0928,0.0083311,56.6593,16.4269,0.00843125
60.5084,20.5417,0.00920695,61.3554,18.2566,0.0082811,56.7112,16.4071,0.0082811,56.7529,18.2891,0.00850635
